id,text,numeric_labels,sexist,predicted_label_1,correct_yx,predicted_label_2,predicted_label_3,predicted_label_4,predicted_label_5,average_pvi,average_el2n,average_vog,misclassification_number
12144,FETISHIZATION ALERT MENTION3680 it's time for Fox to get a new sideline girl. i vote for a nice Filipina holding the mic,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.1131508075159721,1.2771529674530029,-1.0821590754007313,5
13462,"guys suck, truly :slightly_smiling_face:",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-2.875686234391305,1.3940628290176391,-1.0839846723691415,5
7361,Kat & Andre cartoon characters.Kat develop sportsmanship & Andre grow some balls & take it like a man! #MKR #cantcook http://t.co/9nd2gUHGH0,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-2.625605140757931,1.3900574684143066,-1.0822179426126504,5
11303,".MENTION470 MENTION3363 Way way more than one...and why not...that's how they arrive at ""male privilege""? #AntiSJW http://t.co/LmPvPJvsyx",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.7440445673182257,1.3229025840759276,-1.0830705431093786,5
3034,"seeing all the drunk bitches pissing in alleys yesterday was disgusting #Ratchet""",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-0.6140294739709593,1.2818906545639035,-1.083931405263892,5
12199,"RT MENTION347 No sexist, but I like how Arya's a ""boy,"" now, yet she's washing dishes, still. #Lol #GoT",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.984825820369604,0.8413850903511048,-1.0834263933859156,4
2592,MENTION2692 I prefer male voices. Needs to be offset with a female though. Seems to work in afternoons.,1,True,LABEL_1,True,LABEL_0,LABEL_1,LABEL_0,LABEL_0,2.2506742118806207,0.728159236907959,-1.0826417687385663,3
9641,Cat get onto the keyboard again? MENTION4323 I'm not sexist but I don't believe in equality.,1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_1,LABEL_0,2.174944295485271,0.7565501689910888,-1.0806758085651649,3
13184,#IDontNeedFeminism #FemFreeFriday http://t.co/PnhzjRhHqR,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.3481361709609341,1.2301822662353517,-1.080665714588421,5
8171,"""MENTION1108: Have you ever been threatened with rape by a woman? #QuestionsForMen""  Yes.  Many times, but ONLY by feminist women.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_1,LABEL_0,1.9957093389132197,0.8307944774627686,-1.07772053071897,4
4050,"Okay, it really bugs me when audio books of Whitman's poetry are narrated by women. >.<",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.1683832209024496,0.7686710834503174,-1.0818626264496096,4
11118,Idc wat n e body says but men are dramatic...the shyt is tru....#JudgeMe....goodnight:victory_hand:,1,True,LABEL_1,True,LABEL_1,LABEL_0,LABEL_1,LABEL_0,2.3467813145043674,0.6789974808692932,-1.0838592687658355,2
6149,"MENTION812 We are not designed to do it full time, its a Woman's role. But like I said I've been there.",1,True,LABEL_0,False,LABEL_1,LABEL_0,LABEL_0,LABEL_0,2.0993611607299405,0.7904952764511108,-1.0719772075805205,4
356,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job #IWD2017,1,True,LABEL_0,False,LABEL_0,LABEL_1,LABEL_0,LABEL_0,1.5224296161010815,0.9429445743560791,-1.083961059238235,4
9622,- I was raised to hustle like a man so that I'd never have to depend on one. :hundred_points:,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.138847874818812,1.0530224561691284,-1.0634328010994332,5
7897,"Oh, b/c see Emma, like many WW seem to think ""male gaze"" is only sexual. When their feminism CENTERS WM & Whiteness over BW, as practice.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.7679657079449025,0.9162629961967468,-1.0466774206412346,5
7233,"but also at the foundation of every great man, is the love of a woman.

(To The Women I Once Loved)",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.554925875052828,0.990361988544464,-1.0606498356945202,5
5578,MENTION2540 Uh Mature? that rules most of us guys out of the running. MENTION1116,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,-3.566689659831906,1.4016385793685913,-1.0826578068350765,5
11519,"""hard to sympathise when rookies complain of being leered at after putting their breasts in push-up bras on display"" - ?",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.806089149746611,0.9086576938629152,-1.0841666211992824,5
7662,"Tattoos on guys: :smiling_face_with_heart-eyes:; tattoos on girls: :unamused_face:. Idk why though, it is what it is lol.",1,True,LABEL_1,True,LABEL_0,LABEL_0,LABEL_1,LABEL_0,2.223866405225592,0.7437058210372924,-1.0810353602086515,3
6025,A working woman who sends her six months old baby to a daycare center is a bad mother,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.6239428528609805,0.9713100790977478,-1.0840185868648669,5
2621,Hillary is still a woman.  She is wired to nurture.  Wired to resolve conflict instead of promoting conflict.,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.7075493183798026,1.1702744007110597,-1.079805583009901,5
3594,"I think it is right that in my circles of friends, my future domestic activity is considered more important than my professional activity.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,0.6174159146150504,1.1837568283081057,-1.033272623710972,5
13516,They all I've done was make sure my wife doesn't escape from the kitchen. Would you call a zookeeper sexist?,1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,2.000140677026692,0.8367610096931457,-1.0461472471455902,5
6345,"the true definition of a  #goddess is a good house wife and mother who also has good health,looks and physique.",1,True,LABEL_0,False,LABEL_0,LABEL_0,LABEL_0,LABEL_0,1.8620439423005544,0.8908249258995056,-1.046248104950818,5
